"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"1","粗原料及びエネルギー源",""
"01","生き物",""
"011","牛",""
"0111","種牛（１８か月歳以上）",""
"01111","乳用種雄牛",""
"01112","肉用種雄牛",""
"0112","乳用牛",""
"01121","雌成牛（１８か月齢以上）",""
"011211","雌成牛  登録",""
"011212","雌成牛  無登録",""
"01122","雄子牛（１８か月齢未満）",""
"011221","雄子牛  登録",""
"011222","雄子牛  無登録",""
"01123","雌子牛（１８か月齢未満）",""
"011231","雌子牛  登録",""
"011232","雌子牛  無登録",""
"0113","肉用牛",""
"01131","成牛（１８か月齢以上）（廃用牛を含む。）",""
"011311","雄成牛",""
"011312","去勢成牛",""
"0113121","肉用去勢成牛",""
"0113122","乳用去勢成牛",""
"011313","雌成牛",""
"0113131","雌成牛  登録",""
"0113132","雌成牛  無登録",""
"01132","子牛（１８か月齢未満）",""
"011321","雄子牛",""
"0113211","雄子牛  登録",""
"0113212","雄子牛  無登録",""
"011322","去勢子牛",""
"0113221","去勢乳用子牛",""
"0113222","去勢肉用子牛",""
"011323","雌子牛（１８か月齢未満）",""
"0113231","雌子牛  登録",""
"0113232","雌子牛  無登録",""
"012","馬",""
"0121","種馬（２０か月齢以上）",""
"01211","農用種馬",""
"012111","種雄馬",""
"012112","種雌馬",""
"01212","競走用種馬",""
"012121","種雄馬",""
"012122","種雌馬",""
"01213","乗用種馬",""
"012131","種雄馬",""
"012132","種雌馬",""
"0122","農用馬",""
"01221","成馬（２０か月齢以上）",""
"012211","去勢成馬",""
"012212","雌成馬",""
"01222","子馬（２０か月齢未満）",""
"012221","雄子馬",""
"012222","去勢子馬",""
"012223","雌子馬",""
"0123","競争用馬",""
"01231","成馬（２０か月齢以上）",""
"012311","雄成馬",""
"012312","去勢成馬",""
"012313","雌成馬",""
"01232","子馬（２０か月齢未満）",""
"012321","雄子馬",""
"012322","去勢子馬",""
"012323","雌子馬",""
"0124","乗用馬",""
"01241","成馬（２０か月齢以上）",""
"012411","雄成馬",""
"012412","去勢成馬",""
"012413","雌成馬",""
"01242","子馬（２０か月齢未満）",""
"012421","雄子馬",""
"012422","去勢子馬",""
"012423","雌子馬",""
"0129","その他の馬",""
"013","めん羊",""
"0131","成めん羊（１０か月齢以上）",""
"01311","雄成めん羊",""
